 Produção Ambulatorial do SUS - Ceará - por local de atendimento
Valor aprovado por Procedimento e Ano processamento
Período:2015-2023
"Procedimento";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"0202030326 PESQUISA DE ANTICORPOS ANTI-RIBONUCLEOPROTEINA (RNP)";7996,56;4066,92;4564,56;6057,48;6589,44;6829,68;6503,64;3981,12;5988,84;52578,24
"0202030334 PESQUISA DE ANTICORPOS ANTI-SCHISTOSOMAS";1475,18;1136,52;889,70;1084,86;924,14;981,54;510,86;419,02;843,78;8265,60
"0202030342 PESQUISA DE ANTICORPOS ANTI-SM";13848,12;12132,12;8528,52;9455,16;10158,72;9043,32;9403,68;9386,52;9317,88;91274,04
"0202030350 PESQUISA DE ANTICORPOS ANTI-SS-A (RO)";13949,60;14617,40;13893,95;15711,85;14172,20;13281,80;13226,15;11296,95;13151,95;123301,85
"0202030369 PESQUISA DE ANTICORPOS ANTI-SS-B (LA)";13578,60;12725,30;11408,25;13448,75;12428,50;11853,45;12020,40;9516,15;11667,95;108647,35
"0202030377 PESQUISA DE ANTICORPOS ANTIADENOVIRUS";-;212,75;18,50;101,75;342,25;286,75;46,25;-;166,50;1174,75
"0202030385 PESQUISA DE ANTICORPOS ANTIAMEBAS";-;-;10,00;40,00;10,00;10,00;-;10,00;-;80,00
"0202030393 PESQUISA DE ANTICORPOS ANTIASPERGILLUS";-;9,25;-;259,00;296,00;185,00;46,25;55,50;194,25;1045,25
"0202030407 PESQUISA DE ANTICORPOS ANTIBRUCELAS";11,10;14,80;11,10;333,00;162,80;262,70;166,50;136,90;303,40;1402,30
"0202030415 PESQUISA DE ANTICORPOS ANTICISTICERCO";163,24;134,09;29,15;606,32;367,29;81,62;-;-;104,94;1486,65
"0202030423 PESQUISA DE ANTICORPOS ANTICLAMIDIA (POR IMUNOFLUORESCENCIA)";30,00;20,00;20,00;1150,00;1370,00;350,00;30,00;270,00;80,00;3320,00
"0202030431 PESQUISA DE ANTICORPOS ANTICORTEX SUPRARENAL";-;-;326,04;1098,24;480,48;257,40;-;34,32;205,92;2402,40
"0202030440 PESQUISA DE ANTICORPOS ANTIEQUINOCOCOS";-;-;-;397,75;166,50;231,25;-;-;129,50;925,00
"0202030458 PESQUISA DE ANTICORPOS ANTIESCLERODERMA (SCL 70)";850,00;950,00;750,00;670,00;880,00;2250,00;1510,00;900,00;3070,00;11830,00
"0202030466 PESQUISA DE ANTICORPOS ANTIESPERMATOZOIDES";2172,80;1445,30;1105,80;2328,00;2492,90;2502,60;2716,00;1784,80;1629,60;18177,80
"0202030474 PESQUISA DE ANTICORPOS ANTIESTREPTOLISINA O (ASLO)";79610,73;73834,70;66788,00;70690,57;72762,13;50750,39;57898,97;68183,19;65234,33;605753,01
"0202030482 PESQUISA DE ANTICORPOS ANTIFIGADO";-;-;100,00;500,00;70,00;190,00;-;60,00;90,00;1010,00
"0202030504 PESQUISA DE ANTICORPOS ANTIGLOMERULO";-;-;-;320,00;280,00;210,00;100,00;30,00;40,00;980,00
"0202030512 PESQUISA DE ANTICORPOS ANTIILHOTA DE LANGERHANS";120,00;80,00;50,00;310,00;590,00;230,00;-;30,00;90,00;1500,00
"0202030520 PESQUISA DE ANTICORPOS ANTIINSULINA";51,48;17,16;3088,80;514,80;1063,92;1527,24;2333,76;2419,56;2299,44;13316,16
"0202030539 PESQUISA DE ANTICORPOS ANTILEPTOSPIRAS";992,20;1184,90;1119,30;1414,50;1951,60;1172,60;1312,00;1521,10;1648,20;12316,40
"0202030547 PESQUISA DE ANTICORPOS ANTILISTERIA";-;-;33,00;242,00;55,00;110,00;-;495,00;5,50;940,50
"0202030555 PESQUISA DE ANTICORPOS ANTIMICROSSOMAS";29017,56;35435,40;27335,88;26083,20;24418,68;28296,84;35933,04;45371,04;46692,36;298584,00
"0202030563 PESQUISA DE ANTICORPOS ANTIMITOCONDRIA";326,04;978,12;343,20;806,52;909,48;703,56;377,52;1321,32;737,88;6503,64
"0202030571 PESQUISA DE ANTICORPOS ANTIMUSCULO ESTRIADO";-;-;171,60;463,32;531,96;120,12;205,92;-;308,88;1801,80
"0202030580 PESQUISA DE ANTICORPOS ANTIMUSCULO LISO";566,28;892,32;394,68;943,80;1407,12;840,84;411,84;1149,72;1287,00;7893,60
"0202030598 PESQUISA DE ANTICORPOS ANTINUCLEO";106584,88;123993,40;129843,56;177451,56;289231,80;235214,60;257498,80;339047,16;369674,92;2028540,68
"0202030601 PESQUISA DE ANTICORPOS ANTIPARIETAIS";9146,28;5508,36;2419,56;8391,24;2608,32;1252,68;1115,40;2676,96;2265,12;35383,92
