cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
310740,BOM DESPACHO,31,3118689.33,3373574.46,3910684.1,3930576.23,4022297.06,4147840.18,4159238.51,4687708.98,4794297.0,5443375.57,5839813.99,1546085.0
310860,BRASILIA DE MINAS,31,4147461.98,4713725.87,5794980.56,5992761.38,6033033.17,6032085.16,6373835.24,7648415.03,8706822.36,7367668.72,7813745.34,2832557.09
311120,CAMPO BELO,31,3430483.35,3872650.0,4493506.0,4587754.06,4881018.68,5153978.82,4979055.48,5518333.84,4667587.23,3986917.75,3802045.81,1322039.71
311330,CARANGOLA,31,2282238.78,2476682.92,2923627.61,3279979.11,3030996.93,2975563.6,3029764.9,3617610.74,3827413.22,3953309.06,3707777.8,165747.46
311340,CARATINGA,31,4763533.58,4759711.18,5249132.59,5847436.63,6240179.99,6083027.57,5733139.88,6534813.73,6863133.68,7295492.86,7438974.54,2564338.18
311530,CATAGUASES,31,1963748.94,2025710.95,2169193.43,2333684.07,2379034.28,2278797.65,2245295.64,2605212.53,2824409.99,3114184.81,2942152.06,923248.93
311830,CONSELHEIRO LAFAIETE,31,4300021.4,3681676.58,4110191.23,4602164.34,4806391.11,4770606.85,4455524.99,4689739.01,5313472.69,5975975.33,6006683.54,2040964.43
311860,CONTAGEM,31,16720576.18,17026301.21,18248874.74,15865046.11,16934907.89,18108819.58,17801156.37,19100884.08,21151433.48,23742155.11,24563554.08,6263988.16
312090,CURVELO,31,3673011.84,3809922.12,4323154.76,4724143.28,5725889.54,6599670.72,6784338.95,7589122.76,7852380.56,8532604.61,8616791.56,2940386.2
312160,DIAMANTINA,31,2405125.55,2761417.59,3371825.81,3355518.57,3497180.28,3670910.86,4094466.78,4531101.86,4032953.61,4826781.59,5182771.29,1781851.31
312230,DIVINOPOLIS,31,5699554.05,5714689.75,6184499.4,6126430.58,6227462.1,6215259.21,6367117.8,7144826.32,7202354.29,7555050.48,7502600.32,2460288.11
312510,EXTREMA,31,2651699.36,3145203.92,3376785.61,3540338.1,3683284.66,3825604.66,3569427.89,4194463.67,4401493.7,5118488.77,5226884.15,1661043.81
312610,FORMIGA,31,4328550.11,4253849.74,4602100.15,4734203.71,5224547.94,5541840.37,5579852.18,6718966.8,7333066.6,6899189.96,6659044.17,2166917.2
312710,FRUTAL,31,1188880.35,1407348.27,1909307.2,2050521.36,2035390.44,2033364.78,2478060.45,3086125.07,3563204.24,3688154.62,3591127.44,931125.55
312770,GOVERNADOR VALADARES,31,10233003.0,10717370.74,12285806.28,13047646.49,13341519.94,14282029.39,13774181.51,15732789.54,17295402.48,19171839.24,19496863.43,6535794.09
312870,GUAXUPE,31,2989960.43,3284655.08,3440081.24,3462072.55,3549855.8,3629974.26,3774352.6,4182261.24,4854318.71,5221915.33,4969846.38,1626274.86
313130,IPATINGA,31,8218462.84,8908992.49,9811280.43,10149408.1,10212750.29,9625423.19,9412426.54,8563290.88,7609199.62,8686515.97,9297051.34,3243884.43
313170,ITABIRA,31,4053636.3,4175671.42,4863925.27,5581534.74,5660677.18,5913403.93,5979662.25,6927631.36,7534404.77,8397092.61,8545405.21,2904272.05
313240,ITAJUBA,31,4025403.33,4457912.36,5119121.48,5271432.36,5137650.96,4750962.54,4780002.13,5908344.97,6422449.38,7172145.96,7026104.42,2383072.05
