cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023,valor_2015_2023,media_pre_pandemia,media_pandemia,media_pos_pandemia,crescimento_pos_vs_pre_pct,participacao_nacional_pct,ranking_valor
354910,SAO JOAO DA BOA VISTA,35,6380336.78,6617649.32,7447603.66,7791890.21,7723404.94,8265197.33,7916666.35,8453743.58,9117932.66,69714424.83,7192176.982000001,8090931.84,8785838.120000001,22.158258090540418,0.2459755049448161,102
431690,SANTA MARIA,43,5885459.14,6261152.78,6891806.83,7101292.98,7150596.86,7431023.84,7466284.83,8941716.07,9963045.68,67092379.01,6658061.718,7448654.335,9452380.875,41.96895846497768,0.2367240617013885,103
355250,SUZANO,35,5585186.68,5419471.11,5394281.1,5440516.78,5935576.18,7175562.11,7427012.68,11527341.26,12555959.88,66460907.78,5555006.369999999,7301287.395,12041650.57,116.77113882409466,0.23449602274049713,104
291480,ITABUNA,29,6501212.24,6515579.32,7458258.32,7257897.35,6973159.62,6887329.31,6882021.75,8126090.76,9138936.94,65740485.61,6941221.37,6884675.529999999,8632513.85,24.36592048929278,0.2319541354987776,105
353060,MOGI DAS CRUZES,35,5509381.2,5467302.63,5780380.09,5855725.76,6420045.82,8356353.83,8406336.88,9295758.37,9845527.39,64936811.97,5806567.1,8381345.355,9570642.879999999,64.82446022194421,0.22911850958790056,106
230765,MARACANAU,23,5808570.75,5905565.03,6347688.54,6410028.69,6399314.98,7152428.51,7475070.88,8923624.05,10389468.93,64811760.36000001,6174233.598,7313749.695,9656546.49,56.40073114706925,0.22867728622574965,107
353870,PIRACICABA,35,6703502.49,6470727.4,6971626.44,6798605.07,6746322.49,6577298.38,7396325.23,8315866.1,8722314.03,64702587.63,6738156.778,6986811.805,8519090.065,26.430570639358297,0.2282920887941788,108
140010,BOA VISTA,14,5112544.97,5678171.93,6992733.16,6811713.24,7157442.68,7312114.58,7109171.29,8450868.21,10031371.66,64656131.72,6350521.1959999995,7210642.9350000005,9241119.935,45.51750399354153,0.22812817700766136,109
261000,PALMARES,26,5536487.88,5398499.49,6183057.07,6334176.2,7362005.24,7389647.84,7566412.3,9171511.35,9661065.81,64602863.18,6162845.176000001,7478030.07,9416288.58,52.79125649091267,0.22794022801351665,110
521880,RIO VERDE,52,5911692.8,5720585.62,6507750.78,7167166.18,7568337.96,7177746.66,6903947.52,8122505.52,9318023.89,64397756.92999999,6575106.668,7040847.09,8720264.705,32.625448457591474,0.22721654545378653,111
