cod_municipio,municipio,uf_ibge,ano,valor_aprovado
230420,CRATO,23,2016,7033280.85
160030,MACAPA,16,2016,5874762.92
510760,RONDONOPOLIS,51,2016,8011396.76
291800,JEQUIE,29,2016,7446694.82
320500,SERRA,32,2016,7897118.74
354780,SANTO ANDRE,35,2016,6483946.91
150680,SANTAREM,15,2016,6820111.62
354850,SANTOS,35,2016,6830975.04
350280,ARACATUBA,35,2016,5321986.39
410640,CORNELIO PROCOPIO,41,2016,7257842.65
230350,CASCAVEL,23,2016,6096234.22
150240,CASTANHAL,15,2016,4951093.9
220220,CAMPO MAIOR,22,2016,6047017.39
354910,SAO JOAO DA BOA VISTA,35,2016,6617649.32
431690,SANTA MARIA,43,2016,6261152.78
355250,SUZANO,35,2016,5419471.11
291480,ITABUNA,29,2016,6515579.32
353060,MOGI DAS CRUZES,35,2016,5467302.63
230765,MARACANAU,23,2016,5905565.03
353870,PIRACICABA,35,2016,6470727.4
140010,BOA VISTA,14,2016,5678171.93
261000,PALMARES,26,2016,5398499.49
